month,Bahnübergangsunfall,Einfahrt in besetzten Abschnitt,Entgleisung,Fahrzeugbrand,Kollision,Personenunfall,Störung,Störung am Fahrzeug,Vorbeifahrt eines Zuges am Haltbegriff
2006-01-01,0,0,0,0,1,0,0,0,0
2006-04-01,0,0,0,0,0,0,0,0,0
2006-07-01,0,0,0,0,0,0,0,0,0
2006-10-01,0,0,0,0,2,0,0,0,0
2007-01-01,0,0,2,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,2,0,0,0,0
2007-10-01,0,0,1,0,1,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,1,1,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0
2008-10-01,0,1,1,0,1,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,1,0,0,1,0
2009-07-01,0,0,2,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,3,0,1,0,0,0,0
2010-04-01,1,0,3,0,0,0,1,0,0
2010-07-01,0,0,3,0,2,0,1,0,0
2010-10-01,0,0,0,0,1,0,0,0,0
2011-01-01,0,0,1,0,1,0,0,0,0
2011-04-01,0,0,3,0,0,0,0,0,0
2011-07-01,1,0,1,1,2,0,0,0,0
2011-10-01,0,0,1,0,0,0,0,0,0
2012-01-01,0,0,1,0,1,0,0,0,0
2012-04-01,0,0,1,1,1,0,0,0,0
2012-07-01,0,0,4,0,1,0,0,0,0
2012-10-01,1,0,2,0,0,0,0,0,0
2013-01-01,1,0,3,0,1,0,0,0,0
2013-04-01,1,0,5,0,0,0,0,0,0
2013-07-01,0,0,2,0,1,0,0,0,0
2013-10-01,0,0,0,0,2,0,0,0,0
2014-01-01,1,0,3,0,0,0,0,0,0
2014-04-01,2,0,3,1,3,0,0,0,0
2014-07-01,1,0,3,2,1,0,0,0,0
2014-10-01,2,0,4,0,2,0,0,0,0
2015-01-01,1,2,0,0,0,1,0,0,0
2015-04-01,1,0,9,1,3,0,0,0,1
2015-07-01,3,0,3,0,1,0,1,0,0
2015-10-01,2,0,3,0,5,0,0,0,0
2016-01-01,1,1,0,1,2,0,1,0,0
2016-04-01,0,0,0,0,1,0,0,0,0
2016-07-01,0,0,0,0,1,0,0,0,0
2016-10-01,1,0,1,0,2,0,0,0,0
2017-01-01,0,1,3,0,1,1,0,0,0
2017-04-01,1,0,3,0,2,0,0,1,0
2017-07-01,1,0,0,0,1,0,0,0,0
2017-10-01,0,0,3,0,1,0,0,0,0
2018-01-01,0,0,1,0,1,0,0,0,0
2018-04-01,1,0,1,0,4,0,0,0,0
2018-07-01,1,0,1,0,0,0,0,0,0
2018-10-01,0,0,2,1,0,0,0,0,0
2019-01-01,0,0,1,0,1,0,0,0,0
2019-04-01,0,0,2,0,2,0,0,0,0
2019-07-01,0,0,2,1,2,0,0,0,0
2019-10-01,0,0,1,1,1,0,0,1,0
2020-01-01,0,1,2,0,3,0,0,0,0
2020-04-01,1,0,1,0,2,0,0,0,0
2020-07-01,0,0,3,1,0,0,0,0,0
2020-10-01,0,0,0,0,1,0,0,0,0
2021-01-01,0,0,0,0,1,0,0,0,0
2021-04-01,0,0,1,0,0,0,0,0,0
2021-07-01,0,0,0,0,0,0,0,0,0
2021-10-01,0,0,0,0,1,0,0,0,0
2022-01-01,0,0,1,0,1,0,0,0,0
2022-04-01,0,0,1,0,1,0,0,0,0
2022-07-01,0,0,0,0,1,0,0,0,0
2022-10-01,0,0,1,0,1,0,0,0,0
2023-01-01,0,0,0,0,0,0,0,0,0
2023-04-01,0,0,0,0,0,1,0,0,0
2023-07-01,0,0,0,0,0,0,0,0,0
2023-10-01,0,0,0,0,1,0,0,0,0
2024-01-01,0,1,0,0,1,0,0,0,0
2024-04-01,0,0,0,0,0,0,0,0,0
2024-07-01,0,0,0,0,0,1,0,0,0
2024-10-01,0,0,1,0,1,0,0,0,0
